Date,Open,High,Low,Close,Adj Close,Volume
2014-08-08,94.260002,94.82,93.279999,94.739998,89.96891,41865000
2014-08-11,95.269997,96.080002,94.839996,95.989998,91.155937,36585000
2014-08-12,96.040001,96.879997,95.610001,95.970001,91.136971,33795000
2014-08-13,96.150002,97.239998,96.040001,97.239998,92.343002,31916000
2014-08-14,97.330002,97.57,96.800003,97.5,92.589912,28116000
2014-08-15,97.900002,98.190002,96.860001,97.980003,93.045731,48951000
2014-08-18,98.489998,99.370003,97.980003,99.160004,94.166321,47572000
2014-08-19,99.410004,100.68,99.32,100.529999,95.467316,69399000
2014-08-20,100.440002,101.089996,99.949997,100.57,95.50531,52699000
2014-08-21,100.57,100.940002,100.110001,100.580002,95.514801,33478000
2014-08-22,100.290001,101.470001,100.190002,101.32,96.217529,44184000
2014-08-25,101.790001,102.169998,101.279999,101.540001,96.426468,40270000
2014-08-26,101.419998,101.5,100.860001,100.889999,95.809196,33152000
2014-08-27,101.019997,102.57,100.699997,102.129997,96.986748,52369000
2014-08-28,101.589996,102.779999,101.559998,102.25,97.100693,68460000
2014-08-29,102.860001,102.900002,102.199997,102.5,97.338104,44595000
2014-09-02,103.059998,103.739998,102.720001,103.300003,98.097839,53564000
2014-09-03,103.099998,103.199997,98.580002,98.940002,93.95739,125421000
2014-09-04,98.849998,100.089996,97.790001,98.120003,93.17868,85718000
2014-09-05,98.800003,99.389999,98.309998,98.970001,93.985878,58457000
2014-09-08,99.300003,99.309998,98.050003,98.360001,93.406601,46356700
2014-09-09,99.080002,103.080002,96.139999,97.989998,93.055244,189846300
2014-09-10,98.010002,101.110001,97.760002,101.0,95.913651,100869600
2014-09-11,100.410004,101.440002,99.620003,101.43,96.322006,62353100
2014-09-12,101.209999,102.190002,101.080002,101.660004,96.540421,62626100
2014-09-15,102.809998,103.050003,101.440002,101.629997,96.511909,61316500
2014-09-16,99.800003,101.260002,98.889999,100.860001,95.780693,66908100
2014-09-17,101.269997,101.800003,100.589996,101.580002,96.464439,60926500
2014-09-18,101.93,102.349998,101.559998,101.790001,96.663872,37299400
2014-09-19,102.290001,102.349998,100.5,100.959999,95.875664,70902400
2014-09-22,101.800003,102.139999,100.580002,101.059998,95.970627,52788400
2014-09-23,100.599998,102.940002,100.540001,102.639999,97.471046,63402200
2014-09-24,102.160004,102.849998,101.199997,101.75,96.625877,60171800
2014-09-25,100.510002,100.709999,97.720001,97.870003,92.941284,100092000
2014-09-26,98.529999,100.75,98.400002,100.75,95.676247,62370500
2014-09-29,98.650002,100.440002,98.629997,100.110001,95.068466,49766300
2014-09-30,100.809998,101.540001,100.529999,100.75,95.676247,55264100
2014-10-01,100.589996,100.690002,98.699997,99.18,94.185295,51491300
2014-10-02,99.269997,100.220001,98.040001,99.900002,94.869049,47757800
2014-10-03,99.440002,100.209999,99.040001,99.620003,94.603149,43469600
2014-10-06,99.949997,100.650002,99.419998,99.620003,94.603149,37051200
2014-10-07,99.43,100.120003,98.730003,98.75,93.776962,42094200
2014-10-08,98.760002,101.110001,98.309998,100.800003,95.723709,57404700
2014-10-09,101.540001,102.379997,100.610001,101.019997,95.932625,77376500
2014-10-10,100.690002,102.029999,100.300003,100.730003,95.657242,66331600
2014-10-13,101.330002,101.779999,99.809998,99.809998,94.783585,53583400
2014-10-14,100.389999,100.519997,98.57,98.75,93.776962,63688600
2014-10-15,97.970001,99.150002,95.18,97.540001,92.627899,100933600
2014-10-16,95.550003,97.720001,95.410004,96.260002,91.412361,72154500
2014-10-17,97.5,99.0,96.809998,97.669998,92.751343,68179700
2014-10-20,98.32,99.959999,98.220001,99.760002,94.736099,77517300
2014-10-21,103.019997,103.019997,101.269997,102.470001,97.309608,94623900
2014-10-22,102.839996,104.110001,102.599998,102.989998,97.803436,68263100
2014-10-23,104.080002,105.050003,103.629997,104.830002,99.550781,71074700
2014-10-24,105.18,105.489998,104.529999,105.220001,99.921112,47053900
2014-10-27,104.849998,105.480003,104.699997,105.110001,99.816666,34187700
2014-10-28,105.400002,106.739998,105.349998,106.739998,101.364578,48060900
2014-10-29,106.650002,107.370003,106.360001,107.339996,101.934357,52687900
2014-10-30,106.959999,107.349998,105.900002,106.980003,101.592506,40654800
2014-10-31,108.010002,108.040001,107.209999,108.0,102.561127,44639300
2014-11-03,108.220001,110.300003,108.010002,109.400002,103.890625,52282600
2014-11-04,109.360001,109.489998,107.720001,108.599998,103.13092,41574400
2014-11-05,109.099998,109.300003,108.129997,108.860001,103.377823,37435900
2014-11-06,108.599998,108.790001,107.800003,108.699997,103.673485,34968500
2014-11-07,108.75,109.32,108.550003,109.010002,103.969147,33691500
2014-11-10,109.019997,109.330002,108.669998,108.830002,103.79747,27195500
2014-11-11,108.699997,109.75,108.400002,109.699997,104.627235,27442300
2014-11-12,109.379997,111.43,109.370003,111.25,106.105568,46942400
2014-11-13,111.800003,113.449997,111.599998,112.82,107.602974,59522900
2014-11-14,113.150002,114.190002,111.209999,114.18,108.900093,44063600
2014-11-17,114.269997,117.279999,113.300003,113.989998,108.718864,46746700
2014-11-18,113.940002,115.690002,113.889999,115.470001,110.130417,44224000
2014-11-19,115.440002,115.739998,113.800003,114.669998,109.367432,41869200
2014-11-20,114.910004,116.860001,114.849998,116.309998,110.931587,43395500
2014-11-21,117.510002,117.57,116.029999,116.470001,111.084183,57179300
2014-11-24,116.849998,118.769997,116.620003,118.629997,113.144295,47450800
2014-11-25,119.07,119.75,117.449997,117.599998,112.161926,68840400
2014-11-26,117.940002,119.099998,117.830002,119.0,113.497192,40768300
2014-11-28,119.269997,119.400002,118.050003,118.93,113.43042,24814400
2014-12-01,118.809998,119.25,111.269997,115.07,109.748909,83814000
2014-12-02,113.5,115.75,112.75,114.629997,109.329269,59348900
2014-12-03,115.75,116.349998,115.110001,115.93,110.56916,43063400
2014-12-04,115.769997,117.199997,115.290001,115.489998,110.149506,42044500
2014-12-05,115.989998,116.080002,114.639999,115.0,109.682159,38318900
2014-12-08,114.099998,114.650002,111.620003,112.400002,107.202393,57664900
2014-12-09,110.190002,114.300003,109.349998,114.120003,108.842857,60208000
2014-12-10,114.410004,114.849998,111.540001,111.949997,106.773193,44565300
2014-12-11,112.260002,113.800003,111.339996,111.620003,106.458473,41401700
2014-12-12,110.459999,111.870003,109.580002,109.730003,104.655861,56028100
2014-12-15,110.699997,111.599998,106.349998,108.230003,103.225227,67218100
2014-12-16,106.370003,110.160004,106.260002,106.75,101.813652,60790700
2014-12-17,107.120003,109.839996,106.82,109.410004,104.350655,53411800
2014-12-18,111.870003,112.650002,110.660004,112.650002,107.440826,59006200
2014-12-19,112.260002,113.239998,111.660004,111.779999,106.611053,88429800
2014-12-22,112.160004,113.489998,111.970001,112.940002,107.717415,45167500
2014-12-23,113.230003,113.330002,112.459999,112.540001,107.335922,26028400
2014-12-24,112.580002,112.709999,112.010002,112.010002,106.830429,14479600
2014-12-26,112.099998,114.519997,112.010002,113.989998,108.718864,33721000
2014-12-29,113.790001,114.769997,113.699997,113.910004,108.642563,27598900
2014-12-30,113.639999,113.919998,112.110001,112.519997,107.316826,29881500
2014-12-31,112.82,113.129997,110.209999,110.379997,105.275787,41403400
2015-01-02,111.389999,111.440002,107.349998,109.330002,104.274353,53204600
2015-01-05,108.290001,108.650002,105.410004,106.25,101.336784,64285500
